time,sensor1,sensor2,dio_01
2.763983,0.3995444800238459,-0.1850152267294982,1.0
2.7722830000000003,0.3995450348015792,-0.18501421031673654,1.0
2.780583,0.39487745703857113,-0.1768499056265685,1.0
2.7888830000000002,0.38466067356363776,-0.165275155541786,1.0
2.797183,0.3741010766462636,-0.1551578570507281,1.0
2.805483,0.368204885388121,-0.1490292490025481,1.0
2.813783,0.3649839472239482,-0.14785267183567258,1.0
2.822083,0.36634958018103436,-0.15184775825761276,1.0
2.830383,0.3658884115458667,-0.15794298812352653,1.0
2.838683,0.3620224931141043,-0.16395519660977026,1.0
2.8469830000000003,0.35760436059499234,-0.1707038505108687,1.0
2.855283,0.35436511117940706,-0.18016365780092555,1.0
2.863583,0.3504907269707265,-0.19189017753345838,1.0
2.871883,0.34725758587711764,-0.2040148876025334,1.0
2.880183,0.3456129652761011,-0.21451768991849693,1.0
2.888483,0.3433962814642,-0.22159964216006067,1.0
2.896783,0.3346996894215333,-0.22309287676171563,1.0
2.905083,0.3217748753669414,-0.21940257068963437,1.0
2.913383,0.3082703749411322,-0.21431691456410984,1.0
2.9216830000000003,0.29396873760168063,-0.2112324778783784,1.0
2.929983,0.27153141891060395,-0.20991989413838494,1.0
2.938283,0.23839337847208686,-0.20968313548233122,1.0
2.946583,0.19937381421130596,-0.21030253757017506,1.0
2.954883,0.16207915466198441,-0.20960084409939045,1.0
2.963183,0.1289658388158017,-0.20474262858161937,1.0
2.971483,0.09816110901807895,-0.1972810709007565,1.0
2.979783,0.06927467887378014,-0.19050820119779713,1.0
2.988083,0.039963832859469806,-0.184264976110119,1.0
2.9963830000000002,0.007824283519006325,-0.1767251077089894,1.0
3.004683,-0.025513925280162386,-0.16955317585538787,1.0
3.012983,-0.048491184373497864,-0.1660331730970875,1.0
3.021283,-0.053537546960448656,-0.16555719383140785,1.0
3.029583,-0.04293273915266527,-0.16503570909932627,1.0
3.037883,-0.028181774766434797,-0.1630080975662313,1.0
3.046183,-0.01814537848508868,-0.1606601557062534,1.0
3.054483,-0.01548946239608573,-0.15701817368426282,1.0
3.062783,-0.015701609484074952,-0.15108682144540164,1.0
3.0710830000000002,-0.014623732443720394,-0.14489142246900993,1.0
3.079383,-0.012340080446107349,-0.1431734848384933,1.0
3.087683,-0.009506146165009888,-0.14571475715949242,1.0
