time,sensor1,sensor2,dio_01
2.398783,1.9658817740829546,0.007037188763812874,1.0
2.407083,1.9658845110092855,0.007037195800949081,1.0
2.415383,1.9620844737116565,-0.08759073463249104,1.0
2.423683,1.9675480308741313,-0.19689144923941054,1.0
2.4319830000000002,1.9940593349057198,-0.29252264408863593,1.0
2.440283,2.044850465925861,-0.38633987040084633,1.0
2.448583,2.1164120948360585,-0.5218352344803243,1.0
2.456883,2.155171634851137,-0.5467414480489101,1.0
2.465183,2.1743455215816985,-0.5468315423057393,1.0
2.473483,2.186080429822516,-0.5634259773869373,1.0
2.481783,2.183737518676332,-0.5887584873150895,1.0
2.4900830000000003,2.155270343594695,-0.5656330840292008,1.0
2.498383,2.104371695419442,-0.5147798030116679,1.0
2.506683,2.0487369107166056,-0.45723061165698775,1.0
2.514983,2.004764328176091,-0.3368559005642874,1.0
2.523283,1.987897105974958,-0.15409336903933374,1.0
2.531583,2.003498519917967,0.0238794098580975,1.0
2.539883,2.0528364336185243,0.08351122145634188,1.0
2.548183,2.1057607533443097,0.03446201128542009,1.0
2.556483,2.134102800466577,-0.14125676792419936,1.0
2.5647830000000003,2.1367291147139382,-0.43040551377955444,1.0
2.573083,2.144506117825131,-0.7482685889018673,1.0
2.581383,2.1623010373303977,-0.9248761509981988,1.0
2.589683,2.1701378039918344,-0.8787005061837492,1.0
2.597983,2.1466606809332855,-0.7080078317189,1.0
2.606283,2.0833223287256804,-0.49863808230343043,1.0
2.614583,1.9809738319264563,-0.31024828174315355,1.0
2.622883,1.8455069531972332,-0.13349123671342134,1.0
2.631183,1.6963560049155644,-0.0019793438970082677,1.0
2.6394830000000002,1.5571416101082391,0.11726404163947773,1.0
2.647783,1.4623837804066608,0.2403207102660685,1.0
2.656083,1.4182011236241823,0.3224020087610413,1.0
2.664383,1.406455125025172,0.2745368691929927,1.0
2.672683,1.4026300704561152,0.057109359687633476,1.0
2.680983,1.4183795436654438,-0.22262560627479905,1.0
2.689283,1.4679249604642697,-0.47353570308088233,1.0
2.697583,1.555174710472607,-0.6146043304472484,1.0
2.705883,1.6721300859778379,-0.6366092389354503,1.0
2.7141830000000002,1.8110682805233465,-0.5076504727822537,1.0
2.722483,1.9524285585114027,-0.2680369456959811,1.0
2.730783,2.0617871352134483,-0.002984625569576016,1.0
2.739083,2.1209416576380753,0.24893780018994038,1.0
2.747383,2.1405972932185127,0.48970430681676025,1.0
2.755683,2.160405290381288,0.7194295676994636,1.0
2.763983,2.1887116068798553,0.8187074303548806,1.0
2.7722830000000003,2.2074456345798192,0.7585023511024704,1.0
2.780583,2.1869948137136594,0.5706888983201643,1.0
2.7888830000000002,2.1233448735689677,0.32451883260050174,1.0
2.797183,2.008620960995483,0.011046329129942273,1.0
2.805483,1.8510834484742604,-0.3251904344852818,1.0
2.813783,1.6834711555305675,-0.5803421644172941,1.0
2.822083,1.5476440344008362,-0.726992822920509,1.0
